url,name,description
https://www.president.ir,President of Iran,"Official website of the President's Office. News, decrees, and cabinet info."
https://irangov.ir,Government Portal,"Main gateway to Iranian government e-services and information."
http://www.mfa.gov.ir,Ministry of Foreign Affairs,"Handles diplomatic relations, embassies, and foreign policy."
https://www.maj.ir/,Ministry of Agriculture Jihad,"Oversees agriculture, food security, and rural development."
http://www.ict.gov.ir,Ministry of ICT,"Information and Communications Technology infrastructure and regulation."
http://www.mcls.gov.ir/,Ministry of Labor,"Labor laws, social welfare, and cooperative societies management."
https://www.mcth.ir,Ministry of Heritage,"Cultural Heritage, Tourism, and Handicrafts organization."
https://www.farhang.gov.ir/,Ministry of Culture,"Oversees media, press, arts, and cultural guidance."
http://www.mod.ir,Ministry of Defense,"Defense logistics, armed forces support, and military industry."
https://www.mefa.ir,Ministry of Economy,"Economic affairs, finance, tax policies, and customs."
https://www.medu.ir,Ministry of Education,"K-12 education system, schools, and teacher management."
https://www.moe.gov.ir/,Ministry of Energy,"Water resources, electricity grid, and energy management."
https://behdasht.gov.ir/,Ministry of Health,"Public health, hospitals, medical education, and drug regulation."
http://www.mimt.gov.ir,Ministry of Industry,"Industry, mining, and trade regulations and support."
http://www.vaja.ir,Ministry of Intelligence,"National intelligence and security agency."
https://www.moi.ir/,Ministry of Interior,"Internal security, elections, and provincial governance."
https://www.justice.ir/,Ministry of Justice,"Liaison between executive, legislative, and judicial branches."
http://www.mop.ir/,Ministry of Petroleum,"Oil and gas industry management, exports, and energy policy."
http://www.mrud.ir,Ministry of Roads,"Roads, urban development, housing, and transportation infrastructure."
http://www.msrt.ir/,Ministry of Science,"Higher education, research, universities, and technology."
https://msy.gov.ir/,Ministry of Sport,"Youth affairs and sports federations management."
https://www.cbi.ir,Central Bank of Iran,"Monetary policy, banking regulation, and currency issuance."
https://www.leader.ir,Supreme Leader,"Official website of the Supreme Leader of Iran."
https://www.parliran.ir,Parliament (Majlis),"The Islamic Consultative Assembly (Legislature)."
https://www.shora-gc.ir,Guardian Council,"Vets legislation and election candidates for constitutionality."
